               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.13126,            0.026003,            0.044062,                   0,                   0,                   0,                   0,             0.12315,            0.026089,            0.043742,            0.070882,           0.0032353,           0.0032353
                   1,             0.12827,            0.024622,            0.043492,                   0,                   0,                   0,                   0,             0.12209,            0.025623,             0.04358,            0.040817,           0.0065036,           0.0065036
                   2,              0.1268,            0.023661,            0.043066,           6.839e-05,            0.058824,          4.6121e-05,           5.588e-06,             0.12124,            0.025386,            0.043371,            0.010686,           0.0097059,           0.0097059
                   3,             0.12706,            0.021895,            0.042611,          0.00066138,           0.0069444,          0.00034794,          3.4794e-05,             0.12028,            0.024891,            0.042872,            0.009703,            0.009703,            0.009703
                   4,             0.12615,            0.022431,            0.041743,           0.0001375,            0.036356,          7.4451e-05,          1.1077e-05,             0.13374,              0.0185,            0.048621,            0.009703,            0.009703,            0.009703
                   5,             0.12616,            0.022189,            0.041063,                   0,                   0,                   0,                   0,             0.16585,            0.005548,             0.10775,            0.009604,            0.009604,            0.009604
                   6,             0.12508,            0.021563,            0.040744,                   0,                   0,                   0,                   0,             0.16088,           0.0054345,            0.084222,            0.009505,            0.009505,            0.009505
                   7,              0.1245,            0.020089,            0.039637,                   0,                   0,                   0,                   0,             0.14836,           0.0089502,             0.05594,            0.009406,            0.009406,            0.009406
                   8,              0.1228,            0.019884,            0.039176,                   0,                   0,                   0,                   0,              0.1246,            0.016624,            0.044204,            0.009307,            0.009307,            0.009307
                   9,             0.12361,            0.018586,            0.038505,                   0,                   0,                   0,                   0,             0.12128,            0.017964,            0.044901,            0.009208,            0.009208,            0.009208
                  10,             0.12223,            0.019548,            0.038454,          5.0803e-05,            0.029412,          2.8441e-05,          4.2086e-06,             0.11625,            0.020323,             0.04305,            0.009109,            0.009109,            0.009109
                  11,              0.1215,            0.019907,            0.037192,                   0,                   0,                   0,                   0,             0.11664,            0.019975,            0.043595,             0.00901,             0.00901,             0.00901
                  12,             0.12206,            0.018106,            0.036189,                   0,                   0,                   0,                   0,             0.11658,            0.019683,            0.043821,            0.008911,            0.008911,            0.008911
                  13,             0.12137,            0.018051,            0.035458,                   0,                   0,                   0,                   0,             0.11606,            0.019462,            0.042703,            0.008812,            0.008812,            0.008812
                  14,             0.12153,            0.016717,            0.034954,          4.6494e-05,            0.029412,          2.6184e-05,           3.854e-06,             0.11555,            0.019536,            0.043246,            0.008713,            0.008713,            0.008713
                  15,             0.12092,            0.017368,            0.035065,          2.6582e-05,            0.014706,           1.422e-05,           1.422e-06,             0.11519,            0.019489,            0.044248,            0.008614,            0.008614,            0.008614
                  16,             0.12035,            0.017822,            0.035405,          5.7241e-05,            0.029412,          5.1399e-05,          5.1399e-06,             0.11402,            0.019569,            0.043762,            0.008515,            0.008515,            0.008515
                  17,             0.11821,            0.017745,            0.035116,          2.6542e-05,            0.014706,          1.4959e-05,          2.9918e-06,             0.11241,            0.020186,            0.042996,            0.008416,            0.008416,            0.008416
                  18,             0.11927,            0.018014,            0.035066,          0.00014365,            0.036356,          7.6974e-05,          9.3195e-06,             0.11338,            0.019257,            0.043645,            0.008317,            0.008317,            0.008317
                  19,             0.11671,             0.01778,            0.033957,          0.00016416,             0.11765,          0.00018177,          3.6432e-05,             0.11275,            0.019214,            0.044068,            0.008218,            0.008218,            0.008218
                  20,             0.11577,            0.018198,            0.034167,          0.00055891,              0.1299,          0.00052973,          0.00010563,             0.10955,            0.020331,            0.043764,            0.008119,            0.008119,            0.008119
                  21,             0.11634,            0.017844,            0.033349,            0.000757,             0.13685,           0.0024408,          0.00042681,             0.10785,            0.021209,            0.044032,             0.00802,             0.00802,             0.00802
                  22,              0.1142,            0.017813,            0.032863,           0.0010958,             0.13358,          0.00085019,          0.00019997,             0.10741,            0.021083,             0.04269,            0.007921,            0.007921,            0.007921
                  23,             0.11263,            0.019694,            0.032271,          0.00096862,             0.16462,           0.0010341,          0.00027744,             0.10734,             0.02062,            0.043029,            0.007822,            0.007822,            0.007822
                  24,             0.11247,            0.019769,            0.032087,           0.0013226,             0.32312,           0.0013862,          0.00041885,             0.10524,             0.02123,            0.040896,            0.007723,            0.007723,            0.007723
                  25,              0.1115,            0.019251,            0.030984,           0.0014998,             0.33007,           0.0019249,          0.00044467,             0.10614,            0.021014,            0.041267,            0.007624,            0.007624,            0.007624
                  26,             0.10876,            0.020425,            0.031701,           0.0012388,             0.27124,           0.0015366,          0.00046626,             0.10556,            0.020875,            0.040001,            0.007525,            0.007525,            0.007525
                  27,             0.10555,            0.021103,            0.030966,           0.0013782,              0.2982,           0.0031441,          0.00076141,             0.10424,            0.020827,            0.039434,            0.007426,            0.007426,            0.007426
                  28,             0.10539,            0.020303,            0.030578,           0.0013554,             0.34477,           0.0036182,          0.00096602,             0.10484,            0.020744,            0.040932,            0.007327,            0.007327,            0.007327
                  29,             0.10322,            0.021427,            0.031599,          0.00050617,             0.13154,           0.0064707,           0.0029417,             0.11899,            0.016634,            0.048562,            0.007228,            0.007228,            0.007228
                  30,             0.10394,            0.021332,            0.030868,           0.0011482,              0.2451,           0.0047269,          0.00090378,             0.10696,             0.02016,            0.042524,            0.007129,            0.007129,            0.007129
                  31,             0.10282,             0.02041,            0.029091,           0.0012889,             0.18627,           0.0014118,          0.00040304,             0.11407,             0.01789,             0.04867,             0.00703,             0.00703,             0.00703
                  32,            0.099634,            0.021691,             0.02939,           0.0010192,            0.069444,           0.0010224,          0.00032298,             0.11211,            0.019429,            0.044856,            0.006931,            0.006931,            0.006931
                  33,             0.10284,            0.021194,            0.029093,           0.0023974,             0.38725,           0.0070138,           0.0019317,            0.096005,            0.023178,            0.038552,            0.006832,            0.006832,            0.006832
                  34,            0.097835,            0.020518,            0.029255,             0.25953,             0.24265,            0.017689,           0.0045235,            0.093496,            0.022212,            0.036724,            0.006733,            0.006733,            0.006733
                  35,            0.095968,            0.021786,             0.02744,             0.53491,            0.055556,            0.021981,           0.0054499,            0.093482,            0.021645,            0.036551,            0.006634,            0.006634,            0.006634
                  36,            0.097427,            0.021621,            0.027966,           0.0097419,              0.1152,           0.0081369,           0.0016277,             0.10031,            0.020322,            0.041644,            0.006535,            0.006535,            0.006535
                  37,            0.094954,            0.022187,            0.028601,           0.0072387,             0.15155,            0.005345,           0.0018281,             0.10321,            0.019845,            0.042808,            0.006436,            0.006436,            0.006436
                  38,            0.095094,             0.02277,            0.028295,             0.56328,            0.077689,            0.062771,            0.019124,            0.090222,            0.021005,            0.036877,            0.006337,            0.006337,            0.006337
                  39,            0.096303,            0.022424,            0.027436,             0.55049,             0.12908,            0.035002,           0.0075974,             0.09683,            0.019962,            0.040096,            0.006238,            0.006238,            0.006238
                  40,            0.091137,            0.023264,            0.027436,             0.63601,            0.098039,            0.058224,            0.015539,            0.086752,            0.021124,            0.033394,            0.006139,            0.006139,            0.006139
                  41,            0.092002,            0.020939,            0.027528,             0.54496,             0.05943,            0.032571,           0.0083432,            0.086834,             0.02194,            0.036081,             0.00604,             0.00604,             0.00604
                  42,            0.093309,            0.019992,              0.0276,              0.5597,            0.049428,            0.021238,           0.0062672,            0.093329,            0.020804,            0.039673,            0.005941,            0.005941,            0.005941
                  43,            0.088926,            0.022181,            0.026891,             0.55603,             0.07884,            0.031381,             0.01068,            0.091688,            0.020871,            0.039687,            0.005842,            0.005842,            0.005842
                  44,            0.088935,            0.021067,            0.026493,             0.61589,             0.12663,             0.10617,            0.033405,            0.086189,            0.020296,            0.035542,            0.005743,            0.005743,            0.005743
                  45,            0.087007,            0.020654,            0.025465,             0.63872,             0.10417,             0.11904,            0.037021,            0.083674,            0.020984,            0.030874,            0.005644,            0.005644,            0.005644
                  46,            0.088106,            0.018964,            0.025452,             0.63294,             0.11275,            0.093173,            0.024117,            0.088448,            0.019886,            0.032348,            0.005545,            0.005545,            0.005545
                  47,            0.089991,            0.020037,            0.024461,             0.60306,             0.11842,             0.10723,            0.029034,            0.085962,            0.020032,            0.029649,            0.005446,            0.005446,            0.005446
                  48,            0.085541,            0.018597,            0.024417,             0.65731,             0.19853,              0.1393,            0.033243,             0.08583,            0.020043,            0.029711,            0.005347,            0.005347,            0.005347
                  49,            0.085289,             0.01939,            0.023084,             0.68823,              0.1491,             0.16067,            0.049088,            0.085906,            0.019097,            0.029688,            0.005248,            0.005248,            0.005248
                  50,            0.086184,            0.021588,             0.02231,              0.7037,             0.16912,             0.17212,            0.054599,            0.083243,            0.018835,            0.029078,            0.005149,            0.005149,            0.005149
                  51,            0.084142,            0.021526,             0.02362,             0.37174,             0.18627,             0.13226,              0.0368,            0.085512,            0.019456,             0.03015,             0.00505,             0.00505,             0.00505
                  52,            0.084785,            0.019428,            0.024069,             0.71689,             0.19316,              0.2125,            0.075417,            0.083797,            0.019128,            0.028366,            0.004951,            0.004951,            0.004951
                  53,             0.08156,            0.019367,            0.022211,             0.70735,             0.16912,             0.19215,            0.051896,            0.083415,            0.018833,            0.026717,            0.004852,            0.004852,            0.004852
                  54,            0.083643,            0.018956,             0.02335,             0.76091,             0.21208,             0.18991,            0.061052,            0.083838,            0.018515,             0.02783,            0.004753,            0.004753,            0.004753
                  55,            0.082665,            0.018346,            0.021144,             0.39668,             0.15605,             0.17378,            0.057074,            0.085237,            0.018231,            0.026721,            0.004654,            0.004654,            0.004654
                  56,            0.080151,            0.018403,            0.021431,             0.46831,             0.11438,              0.1327,            0.031585,            0.086286,            0.019005,            0.025735,            0.004555,            0.004555,            0.004555
